ID;CHURN;AUTRE_ABONNEMENT;ANCIENNETE;CATEGORIE_OFFRE_M1;STATUT_RC_M1;STATUT_TRAFIC_M1;STATUT_FACT_M1;STATUT_TRAFIC_M2;STATUT_RC_M2;STATUT_FACT_M2;VOL_DATA_M1;MONTANT_OM_HT_M1;MONTANT_FACT_HT_M1;VOL_DATA_M2;MONTANT_OM_HT_M2;MONTANT_FACT_HT_M2;VOL_TOT_DATA_KO_M1;VOL_TOT_VOIX_M1;CONSO_M1;VOL_TOT_DATA_KO_M2;VOL_TOT_VOIX_M2;CONSO_M2
58015237;0;1;5- 18Mois;B2B;0;1;1;1;0;1;101363.59517;0;10593;116397.763581;0;10593;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
55244378;0;1;6- 24Mois;B2B;0;1;1;1;0;1;209257.0082;0;10593;174123.763315543;0;10593;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
55243094;0;1;6- 24Mois;B2B;0;1;1;1;0;1;147159.874407492;0;10593;100440.7009781;0;10593;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
72287704;0;1;1- 03Mois;B2B;0;1;1;1;0;1;478.407281603;0;10330;255.62327573497;0;10330;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
71151151;0;1;2- 06Mois;B2B;0;1;1;1;0;1;15041.942537147;0;10593;3959.5598614;0;10593;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
74214461;0;1;1- 03Mois;B2B;0;1;1;;0;;2158.7173;0;20661;0;0;0;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
72294403;0;1;1- 03Mois;B2B;0;1;1;0;0;1;40.929323;0;10330;0;0;10330;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
52583871;0;1;7- 25Mois+;B2B;0;1;1;1;0;1;54718.596338315;0;10593;63641.142039171;0;10593;14662465.7568359;368.983333333333;9000;17710495.796875;559.516666666667;11350
52705092;1;0;7- 25Mois+;B2C;0;1;0;1;0;0;129690.91177;0;0;261827.85799;0;0;0;0;0;0;0;0
55757606;0;0;6- 24Mois;B2C;0;1;0;1;0;0;61833.613086;0;0;26483.3005473;0;0;0;183.6;11857.4;0;82.4166666666667;7565
52951972;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;447796.9594075;0;0;390471.9153;24793.3884297521;0;44314776.2832031;922.95;33772;49885200.9267578;1013.43333333333;19129
52942248;0;0;7- 25Mois+;B2B;0;0;0;0;0;0;0;0;0;0;0;0;15202191.0351563;1044.15;18467.47;33095999.7099609;1025.75;26626.76
49243718;1;1;7- 25Mois+;B2C;0;1;0;1;0;0;40.931076054;0;0;81.099584285;0;0;4979765.83886719;419.283333333333;9210.27;2800160.48828125;71.3666666666667;3950
55245392;0;0;6- 24Mois;B2C;0;1;0;1;0;0;9.82398036;0;0;6.7631111;0;0;75768671.7890625;1588.36666666667;44190;64330071.6962891;2187.86666666667;49640
69605083;0;0;2- 06Mois;B2B;0;1;0;0;0;0;0;0;0;0;0;0;1531299.82226563;436.516666666667;5242;1262920.45019531;563.5;6742
44515261;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;16036.48496846;0;0;67594.609812306;14049.5867768595;0;36749406.7294922;1169.66666666667;34800.25;46542376.3125;1130.96666666667;34805.25
38746236;0;0;7- 25Mois+;B2C;0;0;0;1;1;0;0;0;0;14085.73780507;4132.23140495868;0;0;0;0;0;0;0
43198083;1;0;7- 25Mois+;B2C;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
47039164;0;1;7- 25Mois+;B2C;0;0;0;0;0;0;0;0;0;0;0;0;37669856.1962891;628.266666666667;19050;29107631.1123047;597.983333333333;15304
43488595;0;1;7- 25Mois+;B2B;0;1;1;1;0;1;248694.636107137;0;58475;184876.799749591;0;58475;26873564.8164063;972.783333333333;20826;29865692.7382813;1017.1;26545.77
49268871;0;0;7- 25Mois+;B2C;0;0;0;0;0;0;0;0;0;0;0;0;18545107.9326172;3.6;7050;12188882.9560547;23.4833333333333;5800
54602132;0;1;6- 24Mois;B2C;0;1;0;1;0;0;270735.9371;0;0;245646.6215619;0;0;0;0;0;0;0;0
48996369;0;1;7- 25Mois+;B2C;0;1;0;1;0;0;227.01325757;0;0;263.5760831;0;0;17215759.4863281;836.033333333333;11398.34;6587419.8515625;682.366666666667;6864.8
46683598;1;1;7- 25Mois+;B2C;0;1;0;1;0;0;2.616628675;0;0;47.528408636;0;0;18633088.9707031;57.8666666666667;14640;13317954.9716797;49.4;15524.75
33904216;0;1;7- 25Mois+;B2C;0;1;0;1;0;0;37.5647547;0;0;39.49385072;0;0;0;0;0;0;0;0
74530270;0;0;1- 03Mois;;0;;;;0;;0;0;0;0;0;0;0;581.35;13563;36787.74609375;467.083333333333;13408
72886895;0;0;1- 03Mois;B2B;0;1;1;1;0;1;71.308509564;0;16864;1.07344241886;0;20672;36061131.4541016;0;0;31561782.1289063;0;0
69650162;0;1;2- 06Mois;B2B;0;0;0;0;0;0;0;0;0;0;0;0;17486080.0761719;1591.56666666667;18450;21753680.1865234;1265.26666666667;26994.16
32629805;1;0;7- 25Mois+;B2C;0;1;0;1;0;0;0.8104229;0;0;0;0;0;0;0;0;0;28.2;650
72851861;0;1;1- 03Mois;B2C;1;1;0;1;1;0;144866.0858348;0;0;33147.9786111;0;0;8030193.29003906;686.85;37268;5401222.7890625;693.833333333333;29762
68846454;0;1;3- 09Mois;B2B;0;1;1;1;0;1;13505.7186134061;0;25424;13679.4837058887;0;25424;2894873.95117188;167.566666666667;8249.5;452252.521484375;86.55;2401
52191011;0;0;7- 25Mois+;B2C;1;1;0;1;1;0;188256.815085;0;0;149980.627465468;0;0;28826002.2919922;1600.68333333333;7542;14619362.5849609;1072.55;3500
52198648;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;91111.6898832711;0;0;13197.6604000396;14049.5867768595;0;515.92578125;58.4333333333333;750;185963.358398438;154.283333333333;1904.25
51911872;0;0;7- 25Mois+;B2B;0;0;0;0;0;0;0;0;0;0;0;0;25555315.7587891;1173.36666666667;18350.21;20373880.2460938;1505.58333333333;17050.8
64280077;0;0;4- 12Mois;B2C;0;1;0;1;1;0;12568.2289120037;0;0;1763.19677048273;8264.46280991736;0;0;0;0;0;0;0
53114561;0;1;7- 25Mois+;B2B;0;0;1;0;0;1;0;0;14407;0;0;14407;5070826.46484375;667.2;10150;4545137.72851563;953.783333333333;10000
42394599;0;0;7- 25Mois+;B2C;0;0;0;0;0;0;0;0;0;0;0;0;10509058.4316406;973.016666666667;12032;11474653.1738281;963.266666666667;10938
51797344;0;1;7- 25Mois+;B2B;0;1;0;1;0;0;224.1075204;0;0;230.6251386;0;0;4349670.93652344;745.666666666667;7500;3015058.8671875;194.783333333333;8451.5
69011245;0;0;3- 09Mois;B2C;1;1;0;1;1;0;686323.578885373;0;0;369259.9374;0;0;0;0;0;0;0;0
33984681;0;0;7- 25Mois+;B2C;0;1;0;1;0;0;236.1312014;0;0;32189.4363312;0;0;0;0;0;0;0;0
48103644;0;0;7- 25Mois+;B2C;0;1;0;1;1;0;176664.407711782;0;0;161411.891536784;20661.1570247934;0;0;0;0;0;0;0
64263939;0;0;4- 12Mois;B2C;0;1;0;1;1;0;150573.472947137;0;0;157408.3733;0;0;0;454.916666666667;5907.75;23339.05078125;436.9;5959
66471556;0;0;3- 09Mois;B2B;1;1;0;1;1;0;180976.0218;0;0;184800.3957056;0;0;16985745.1416016;870.783333333333;16500;7589725.6953125;631.65;16255
69777346;0;1;2- 06Mois;B2C;0;1;0;1;1;0;227406.62082684;0;0;38141.61123523;8264.46280991736;0;0;0;0;0;0;0
47632535;0;1;7- 25Mois+;B2C;0;1;0;1;1;0;159488.8159;0;0;103125.69242287;20661.1570247934;0;12440491.3505859;294.916666666667;16499;14588498.4541016;247.95;2999
47475100;0;1;7- 25Mois+;B2C;0;1;0;1;1;0;406037.85411;0;0;365775.2457;4132.23140495868;0;30946450.3720703;101.983333333333;5200;23367495.4707031;30.3833333333333;20252
39359785;1;1;7- 25Mois+;B2C;0;1;0;0;0;0;0.025064468;0;0;0;0;0;36961923.9541016;1264.83333333333;29754.5;22063109.5185547;1579.18333333333;30096
72878043;0;1;1- 03Mois;B2C;0;1;0;1;1;0;33581.5758293;0;0;18683.19085;0;0;269351.650390625;190.116666666667;2242;137006.262695313;65.9166666666667;3034
72091036;1;0;1- 03Mois;B2C;0;1;0;1;0;0;0.04294777;0;0;11027.7398261808;0;0;5566464.88378906;180.466666666667;4400.4;1197596.66503906;215.383333333333;3300
72850807;0;1;1- 03Mois;B2B;0;1;0;1;1;0;335665.102276209;0;0;62672.56816;0;0;11001403.0898438;1983.93333333333;12145;8880987.35058594;2127.93333333333;4384
61713740;1;0;5- 18Mois;B2C;0;1;0;1;0;0;25.2842559;0;0;69990.76610922;0;0;0;0;0;0;0;0
32267121;0;0;7- 25Mois+;B2C;1;1;0;1;1;0;136920.114541162;0;0;56067.7923498;0;0;0;0;0;0;0;0
54780387;0;0;6- 24Mois;B2C;0;1;0;1;0;0;709995.4665;0;0;336544.9518;0;0;10405989.6699219;228.55;6136;9953756.27734375;421.033333333333;6693
72254652;1;0;1- 03Mois;B2C;0;1;0;1;0;1;26564.99758;0;0;171.3104;0;20661;38253149.0517578;1119.68333333333;21486.8;42711102.8896484;751.516666666667;20971.6
46018721;0;1;7- 25Mois+;B2C;1;1;0;1;1;0;315.3353956;0;0;318.8073317;0;0;19819882.2910156;2662.35;60004;14061960.328125;2685.88333333333;64913
53629334;1;0;7- 25Mois+;B2C;0;1;0;1;0;0;0.080784798;0;0;0.4665183976;0;0;25169583.1054688;220.283333333333;13851.86;32913227.1054688;443.5;18982
67468833;0;1;3- 09Mois;B2B;0;1;0;1;1;0;5.057106001;0;0;16649.520590884;4132.23140495868;0;9272883.04394531;360.866666666667;27767;4990119.98828125;585.683333333333;32975.67
71648860;0;0;2- 06Mois;B2C;0;1;0;1;0;0;223.7663063;0;0;90.42115982;0;0;18537987.1669922;107.8;9983.5;4961502.04003906;89.7333333333333;4100.5
