"ID","CHURN","AUTRE_ABONNEMENT","ANCIENNETE","CATEGORIE_OFFRE_M1","STATUT_RC_M1","STATUT_TRAFIC_M1","STATUT_FACT_M1","STATUT_TRAFIC_M2","STATUT_RC_M2","STATUT_FACT_M2","VOL_DATA_M1","MONTANT_FACT_HT_M1","VOL_DATA_M2","MONTANT_OM_HT_M2","MONTANT_FACT_HT_M2","VOL_TOT_DATA_KO_M1","VOL_TOT_VOIX_M1","CONSO_M1","VOL_TOT_DATA_KO_M2","VOL_TOT_VOIX_M2","CONSO_M2"
"46720185","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","1208.8108634","0","1840.120082871","14049.586776859","0","7433503.7304688","1614.4666666667","65660","10145746.880859","2096.95","70390"
"55185139","0","0","6- 24Mois","B2C","0","0","0","1","0","0","0","0","17.24355778","0","0","0","0","0","0","0","0"
"34390704","0","0","7- 25Mois+","B2C","1","1","0","1","1","0","18788.99832999","0","18425.2400474","0","0","0","32.816666666667","5109.5","0","35.116666666667","2582.51"
"34272453","1","0","7- 25Mois+","B2C","0","1","0","1","0","0","0.040385247","0","0.044841766","0","0","2153318.8330078","72.366666666667","1337","3556574.2988281","31.566666666667","3021"
"44956963","0","1","7- 25Mois+","B2C","1","1","0","1","1","0","49965.01949","0","27450.61804","0","0","10613931.669922","308.48333333333","12436","8830819.2539062","275.86666666667","9702"
"51927369","0","0","7- 25Mois+","B2C","0","1","0","1","1","0","403198.694863","0","447883.6414","33057.851239669","0","1328175.7988281","184.01666666667","23536","160342.87109375","153.35","27344.5"
"46738910","0","1","7- 25Mois+","B2C","0","1","0","1","0","0","15425.006786535","0","5.845016489","0","0","11595329.849609","746.21666666667","10500","10289871.077148","967.8","11500"
"49629050","0","1","7- 25Mois+","B2C","0","0","0","1","0","0","0","0","18678.1720044","0","0","21203129.539062","742.13333333333","1000","12053855.360352","589.45","16625"
"54912448","0","0","6- 24Mois","B2B","0","1","1","1","0","1","323161.52959836","24793","329446.3413","0","24793","11276890.379883","1105.7","10042","10574006.262695","725.96666666667","13210"
"64215825","0","1","4- 12Mois","B2C","0","1","0","1","0","0","102170.93857147","0","90601.564672178","0","0","2652583.0029297","665.7","11710","1816163.8759766","913.16666666667","6000"
"68117357","0","0","3- 09Mois","B2C","0","1","0","0","0","0","5055.0049455","0","0","0","0","6187944.3828125","113.71666666667","1900","11959608.291992","417.53333333333","8950"
"52916504","0","1","7- 25Mois+","B2C","0","1","0","1","1","0","20404.5152601","0","7830.9636798138","4132.2314049587","0","8799781.1650391","616.81666666667","15350","8411596.0126953","645.01666666667","18002"
